league,season,team,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,player,weekly wage,yearly salary
ENG-Premier League,2425,Brentford,JAM,DF,25,1993,19.3,33,17,14,15,4,13,22,59.1,9,27,16,11,24,57,126,3,Ethan Pinnock,32000.0,1664000.0
ENG-Premier League,2425,Brentford,ENG,DF,25,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Jayden Meghoma,,
ENG-Premier League,2425,Brentford,ENG,"DF,FW",25,2001,25.3,36,22,19,13,4,23,36,63.9,13,22,8,14,12,48,53,1,Keane Lewis-Potter,32000.0,1664000.0
ENG-Premier League,2425,Brentford,ENG,"DF,FW",25,2001,25.3,36,22,19,13,4,23,36,63.9,13,22,8,14,12,48,53,1,Keane Lewis-Potter,32000.0,1664000.0
ENG-Premier League,2425,Brentford,KOR,DF,25,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Kim Jisoo,,
ENG-Premier League,2425,Brentford,NOR,DF,25,1998,12.6,18,13,10,7,1,9,20,45.0,11,14,3,11,9,27,39,0,Kristoffer Ajer,35000.0,1820000.0
ENG-Premier League,2425,Brentford,NOR,DF,25,1998,12.6,18,13,10,7,1,9,20,45.0,11,14,3,11,9,27,39,0,Kristoffer Ajer,35000.0,1820000.0
ENG-Premier League,2425,Brentford,DEN,DF,25,1999,12.2,18,8,14,3,1,11,28,39.3,17,12,5,7,4,22,35,0,Mads Roerslev,29000.0,1508000.0
ENG-Premier League,2425,Brentford,DEN,DF,25,1999,12.2,18,8,14,3,1,11,28,39.3,17,12,5,7,4,22,35,0,Mads Roerslev,29000.0,1508000.0
ENG-Premier League,2425,Brentford,ITA,DF,25,2004,0.4,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0,Michael Kayode,,
ENG-Premier League,2425,Brentford,IRL,DF,25,2001,28.0,31,18,20,8,3,20,26,76.9,6,55,39,16,24,55,169,2,Nathan Collins,39000.0,2028000.0
ENG-Premier League,2425,Brentford,IRL,DF,25,2001,28.0,31,18,20,8,3,20,26,76.9,6,55,39,16,24,55,169,2,Nathan Collins,39000.0,2028000.0
ENG-Premier League,2425,Brentford,ENG,DF,25,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Rico Henry,35000.0,1820000.0
ENG-Premier League,2425,Brentford,ENG,DF,25,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Rico Henry,35000.0,1820000.0
ENG-Premier League,2425,Brentford,NED,DF,25,2001,19.5,28,17,17,7,4,12,21,57.1,9,40,27,13,14,42,91,2,Sepp van den Berg,,
ENG-Premier League,2425,Brighton,ENG,DF,25,1995,5.9,7,5,3,3,1,4,9,44.4,5,11,8,3,13,20,25,1,Adam Webster,58000.0,3016000.0
ENG-Premier League,2425,Brighton,TUR,"DF,MF",25,1999,4.3,10,6,4,5,1,6,15,40.0,9,2,2,0,8,18,17,0,Ferdi Kadioglu,,
ENG-Premier League,2425,Brighton,BRA,DF,25,1998,10.0,4,4,2,1,1,4,10,40.0,6,23,14,9,4,8,39,1,Igor,51000.0,2652000.0
ENG-Premier League,2425,Brighton,ENG,"MF,DF",25,2005,12.9,19,14,7,8,4,8,17,47.1,9,6,3,3,8,27,28,1,Jack Hinshelwood,,
ENG-Premier League,2425,Brighton,NED,DF,25,2000,24.9,37,25,19,17,1,18,33,54.5,15,32,19,13,21,58,102,2,Jan Paul van Hecke,30000.0,1560000.0
ENG-Premier League,2425,Brighton,NED,DF,25,1992,18.3,42,28,23,16,3,30,51,58.8,21,22,7,15,18,60,66,0,Joël Veltman,55000.0,2860000.0
ENG-Premier League,2425,Brighton,ENG,DF,25,1991,17.4,15,8,7,6,2,9,14,64.3,5,20,14,6,10,25,57,0,Lewis Dunk,85000.0,4420000.0
ENG-Premier League,2425,Brighton,ECU,DF,25,1998,17.8,42,29,21,15,6,20,31,64.5,11,10,2,8,21,63,41,0,Pervis Estupiñán,59000.0,3068000.0
ENG-Premier League,2425,Brighton,GHA,DF,25,2000,8.5,14,10,8,6,0,7,22,31.8,15,12,5,7,6,20,21,1,Tariq Lamptey,42000.0,2184000.0
ENG-Premier League,2425,Chelsea,FRA,DF,25,1998,4.0,7,4,5,1,1,6,11,54.5,5,4,1,3,2,9,11,1,Axel Disasi,78000.0,4056000.0
ENG-Premier League,2425,Chelsea,FRA,DF,25,2001,2.8,6,4,3,3,0,2,2,100.0,0,2,2,0,6,12,6,1,Benoît Badiashile,120000.0,6240000.0
ENG-Premier League,2425,Chelsea,ENG,DF,25,2006,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,Joshua Acheampong,,
ENG-Premier League,2425,Chelsea,ENG,DF,25,2003,26.0,33,22,17,14,2,14,22,63.6,8,28,20,8,27,60,81,3,Levi Colwill,75000.0,3900000.0
ENG-Premier League,2425,Chelsea,FRA,DF,25,2003,17.2,40,26,24,14,2,22,42,52.4,20,26,7,19,18,58,38,4,Malo Gusto,100000.0,5200000.0
ENG-Premier League,2425,Chelsea,ESP,DF,25,1998,24.0,47,31,26,18,3,22,42,52.4,20,37,10,27,20,67,58,3,Marc Cucurella,110000.0,5720000.0
ENG-Premier League,2425,Chelsea,ENG,"DF,MF",25,1999,6.7,7,7,4,3,0,3,9,33.3,6,10,4,6,7,14,12,2,Reece James,250000.0,13000000.0
ENG-Premier League,2425,Chelsea,POR,"DF,MF",25,2003,2.0,9,6,6,3,0,4,12,33.3,8,3,1,2,1,10,2,0,Renato Veiga,,
